id,timestamp,sensor_value,timestamp_hour,rolling_mean_1h,zone,z_score
SNS-20250901-1000001,2025-09-01T00:00:00Z,151.17,0,152.59,zone1,0.08
SNS-20250901-2000001,2025-09-01T00:00:00Z,81.89,0,84.58,zone2,0.24
SNS-20250901-3000001,2025-09-01T00:00:00Z,279.4,0,285.85,zone3,1.18
SNS-20250901-4000001,2025-09-01T00:00:00Z,818.72,0,815.92,zone4,0.23
SNS-20250901-1000002,2025-09-01T01:00:00Z,144.91,1,141.59,zone1,-0.34
SNS-20250901-2000002,2025-09-01T01:00:00Z,90.38,1,81.72,zone2,1.3
SNS-20250901-3000002,2025-09-01T01:00:00Z,249.51,1,257.86,zone3,-0.02
SNS-20250901-4000002,2025-09-01T01:00:00Z,840.77,1,841.14,zone4,0.51
SNS-20250901-1000003,2025-09-01T02:00:00Z,134.99,2,137.2,zone1,-1.0
SNS-20250901-2000003,2025-09-01T02:00:00Z,77.94,2,75.6,zone2,-0.26
SNS-20250901-3000003,2025-09-01T02:00:00Z,282.13,2,291.79,zone3,1.29
SNS-20250901-4000003,2025-09-01T02:00:00Z,822.49,2,829.24,zone4,0.28
SNS-20250901-1000004,2025-09-01T03:00:00Z,157.19,3,148.38,zone1,0.48
SNS-20250901-2000004,2025-09-01T03:00:00Z,70.46,3,72.27,zone2,-1.19
SNS-20250901-3000004,2025-09-01T03:00:00Z,211.38,3,218.67,zone3,-1.54
SNS-20250901-4000004,2025-09-01T03:00:00Z,906.58,3,907.5,zone4,1.33
SNS-20250901-1000005,2025-09-01T04:00:00Z,136.52,4,127.96,zone1,-0.9
SNS-20250901-2000005,2025-09-01T04:00:00Z,81.49,4,73.45,zone2,0.19
SNS-20250901-3000005,2025-09-01T04:00:00Z,270.87,4,270.62,zone3,0.83
SNS-20250901-4000005,2025-09-01T04:00:00Z,688.97,4,693.54,zone4,-1.39
SNS-20250901-1000006,2025-09-01T05:00:00Z,164.93,5,172.04,zone1,1.0
SNS-20250901-2000006,2025-09-01T05:00:00Z,85.78,5,83.21,zone2,0.72
SNS-20250901-3000006,2025-09-01T05:00:00Z,241.9,5,246.44,zone3,-0.32
SNS-20250901-4000006,2025-09-01T05:00:00Z,888.55,5,883.6,zone4,1.11
SNS-20250901-1000007,2025-09-01T06:00:00Z,131.03,6,139.67,zone1,-1.26
SNS-20250901-2000007,2025-09-01T06:00:00Z,67.41,6,62.16,zone2,-1.57
SNS-20250901-3000007,2025-09-01T06:00:00Z,254.15,6,247.12,zone3,0.17
SNS-20250901-4000007,2025-09-01T06:00:00Z,646.47,6,645.32,zone4,-1.92
SNS-20250901-1000008,2025-09-01T07:00:00Z,156.93,7,155.83,zone1,0.46
SNS-20250901-2000008,2025-09-01T07:00:00Z,87.45,7,86.27,zone2,0.93
SNS-20250901-3000008,2025-09-01T07:00:00Z,251.16,7,241.73,zone3,0.05
SNS-20250901-4000008,2025-09-01T07:00:00Z,932.62,7,931.38,zone4,1.66
SNS-20250901-1000009,2025-09-01T08:00:00Z,148.53,8,156.68,zone1,-0.1
SNS-20250901-2000009,2025-09-01T08:00:00Z,80.54,8,75.2,zone2,0.07
SNS-20250901-3000009,2025-09-01T08:00:00Z,223.3,8,227.3,zone3,-1.07
SNS-20250901-4000009,2025-09-01T08:00:00Z,893.7,8,894.86,zone4,1.17
SNS-20250901-1000010,2025-09-01T09:00:00Z,151.03,9,146.03,zone1,0.07
SNS-20250901-2000010,2025-09-01T09:00:00Z,75.52,9,74.72,zone2,-0.56
SNS-20250901-3000010,2025-09-01T09:00:00Z,253.62,9,256.01,zone3,0.14
SNS-20250901-4000010,2025-09-01T09:00:00Z,778.95,9,774.47,zone4,-0.26
SNS-20250901-1000011,2025-09-01T10:00:00Z,153.76,10,154.99,zone1,0.25
SNS-20250901-2000011,2025-09-01T10:00:00Z,77.42,10,75.66,zone2,-0.32
