id,timestamp,voltage,current,power_factor,temperature,humidity,zone,grid_status
GRD-20250901-1000001,2025-09-01T00:00:00Z,221.74,32.62,0.97,35.7,88.5,zone1,Normal
GRD-20250901-2000001,2025-09-01T00:00:00Z,218.95,20.38,0.94,35.7,88.5,zone2,Normal
GRD-20250901-3000001,2025-09-01T00:00:00Z,223.8,41.05,0.91,35.7,88.5,zone3,Normal
GRD-20250901-4000001,2025-09-01T00:00:00Z,229.15,178.73,0.73,35.7,88.5,zone4,Critical
GRD-20250901-1000002,2025-09-01T01:00:00Z,221.48,24.54,0.94,28.2,74.1,zone1,Normal
GRD-20250901-2000002,2025-09-01T01:00:00Z,217.27,17.91,0.89,28.2,74.1,zone2,Normal
GRD-20250901-3000002,2025-09-01T01:00:00Z,222.06,42.39,0.87,28.2,74.1,zone3,Normal
GRD-20250901-4000002,2025-09-01T01:00:00Z,221.41,115.55,0.88,28.2,74.1,zone4,Normal
GRD-20250901-1000003,2025-09-01T02:00:00Z,217.24,30.89,0.98,29.9,74.2,zone1,Normal
GRD-20250901-2000003,2025-09-01T02:00:00Z,215.16,12.67,0.88,29.9,74.2,zone2,Normal
GRD-20250901-3000003,2025-09-01T02:00:00Z,218.57,45.83,0.88,29.9,74.2,zone3,Normal
GRD-20250901-4000003,2025-09-01T02:00:00Z,224.1,254.68,0.85,29.9,74.2,zone4,Normal
GRD-20250901-1000004,2025-09-01T03:00:00Z,222.19,38.68,0.9,32.0,78.4,zone1,Normal
GRD-20250901-2000004,2025-09-01T03:00:00Z,221.78,12.77,0.83,32.0,78.4,zone2,Warning
GRD-20250901-3000004,2025-09-01T03:00:00Z,224.88,93.94,0.87,32.0,78.4,zone3,Normal
GRD-20250901-4000004,2025-09-01T03:00:00Z,211.15,225.39,0.83,32.0,78.4,zone4,Warning
GRD-20250901-1000005,2025-09-01T04:00:00Z,219.35,35.14,0.97,29.3,62.6,zone1,Normal
GRD-20250901-2000005,2025-09-01T04:00:00Z,213.91,10.8,0.83,29.3,62.6,zone2,Warning
GRD-20250901-3000005,2025-09-01T04:00:00Z,208.19,73.87,0.93,29.3,62.6,zone3,Normal
GRD-20250901-4000005,2025-09-01T04:00:00Z,202.58,221.67,0.74,29.3,62.6,zone4,Critical
GRD-20250901-1000006,2025-09-01T05:00:00Z,216.84,20.28,0.94,34.2,71.9,zone1,Normal
GRD-20250901-2000006,2025-09-01T05:00:00Z,207.87,10.03,0.92,34.2,71.9,zone2,Normal
GRD-20250901-3000006,2025-09-01T05:00:00Z,219.49,76.38,0.95,34.2,71.9,zone3,Normal
GRD-20250901-4000006,2025-09-01T05:00:00Z,215.31,136.98,0.82,34.2,71.9,zone4,Warning
GRD-20250901-1000007,2025-09-01T06:00:00Z,225.45,48.75,0.99,32.9,72.1,zone1,Normal
GRD-20250901-2000007,2025-09-01T06:00:00Z,222.8,12.38,0.83,32.9,72.1,zone2,Warning
GRD-20250901-3000007,2025-09-01T06:00:00Z,218.23,95.14,0.91,32.9,72.1,zone3,Normal
GRD-20250901-4000007,2025-09-01T06:00:00Z,207.79,144.68,0.88,32.9,72.1,zone4,Normal
GRD-20250901-1000008,2025-09-01T07:00:00Z,224.06,19.41,0.91,30.1,74.5,zone1,Normal
GRD-20250901-2000008,2025-09-01T07:00:00Z,220.92,23.61,0.93,30.1,74.5,zone2,Normal
GRD-20250901-3000008,2025-09-01T07:00:00Z,217.9,71.7,0.88,30.1,74.5,zone3,Normal
GRD-20250901-4000008,2025-09-01T07:00:00Z,209.9,122.6,0.81,30.1,74.5,zone4,Warning
GRD-20250901-1000009,2025-09-01T08:00:00Z,218.26,35.31,0.96,35.3,68.6,zone1,Normal
GRD-20250901-2000009,2025-09-01T08:00:00Z,221.93,20.53,0.88,35.3,68.6,zone2,Normal
GRD-20250901-3000009,2025-09-01T08:00:00Z,214.72,67.84,0.88,35.3,68.6,zone3,Normal
GRD-20250901-4000009,2025-09-01T08:00:00Z,224.42,176.16,0.74,35.3,68.6,zone4,Critical
GRD-20250901-1000010,2025-09-01T09:00:00Z,221.03,40.92,0.97,32.5,76.6,zone1,Normal
GRD-20250901-2000010,2025-09-01T09:00:00Z,217.31,19.89,0.95,32.5,76.6,zone2,Normal
GRD-20250901-3000010,2025-09-01T09:00:00Z,226.05,61.39,0.89,32.5,76.6,zone3,Normal
GRD-20250901-4000010,2025-09-01T09:00:00Z,224.82,291.64,0.7,32.5,76.6,zone4,Critical
GRD-20250901-1000011,2025-09-01T10:00:00Z,224.11,49.85,0.94,33.7,81.3,zone1,Normal
GRD-20250901-2000011,2025-09-01T10:00:00Z,216.63,7.95,0.88,33.7,81.3,zone2,Normal
GRD-20250901-3000011,2025-09-01T10:00:00Z,226.48,71.25,0.85,33.7,81.3,zone3,Normal
GRD-20250901-4000011,2025-09-01T10:00:00Z,215.36,257.14,0.82,33.7,81.3,zone4,Warning
GRD-20250901-1000012,2025-09-01T11:00:00Z,216.85,42.26,0.97,31.5,86.2,zone1,Normal
GRD-20250901-2000012,2025-09-01T11:00:00Z,211.33,17.57,0.83,31.5,86.2,zone2,Warning
GRD-20250901-3000012,2025-09-01T11:00:00Z,222.02,44.4,0.94,31.5,86.2,zone3,Normal
GRD-20250901-4000012,2025-09-01T11:00:00Z,207.66,121.37,0.87,31.5,86.2,zone4,Normal
GRD-20250901-1000013,2025-09-01T12:00:00Z,223.98,26.18,0.98,25.3,68.5,zone1,Normal
GRD-20250901-2000013,2025-09-01T12:00:00Z,217.31,9.37,0.93,25.3,68.5,zone2,Normal
GRD-20250901-3000013,2025-09-01T12:00:00Z,221.88,77.69,0.91,25.3,68.5,zone3,Normal
GRD-20250901-4000013,2025-09-01T12:00:00Z,217.63,230.95,0.72,25.3,68.5,zone4,Critical
GRD-20250901-1000014,2025-09-01T13:00:00Z,220.39,19.81,0.99,28.5,56.8,zone1,Normal
GRD-20250901-2000014,2025-09-01T13:00:00Z,216.38,9.94,0.91,28.5,56.8,zone2,Normal
GRD-20250901-3000014,2025-09-01T13:00:00Z,216.54,80.46,0.86,28.5,56.8,zone3,Normal
GRD-20250901-4000014,2025-09-01T13:00:00Z,214.6,267.65,0.87,28.5,56.8,zone4,Normal
GRD-20250901-1000015,2025-09-01T14:00:00Z,219.98,17.04,0.98,34.2,62.9,zone1,Normal
GRD-20250901-2000015,2025-09-01T14:00:00Z,221.96,19.21,0.85,34.2,62.9,zone2,Normal
GRD-20250901-3000015,2025-09-01T14:00:00Z,225.86,85.0,0.87,34.2,62.9,zone3,Normal
GRD-20250901-4000015,2025-09-01T14:00:00Z,218.76,162.32,0.76,34.2,62.9,zone4,Critical
GRD-20250901-1000016,2025-09-01T15:00:00Z,222.25,25.13,0.98,30.2,67.5,zone1,Normal
GRD-20250901-2000016,2025-09-01T15:00:00Z,224.89,11.44,0.84,30.2,67.5,zone2,Warning
GRD-20250901-3000016,2025-09-01T15:00:00Z,223.87,42.31,0.95,30.2,67.5,zone3,Normal
GRD-20250901-4000016,2025-09-01T15:00:00Z,217.92,197.07,0.73,30.2,67.5,zone4,Critical
GRD-20250901-1000017,2025-09-01T16:00:00Z,216.98,23.57,0.9,35.7,53.0,zone1,Normal
GRD-20250901-2000017,2025-09-01T16:00:00Z,218.98,21.81,0.9,35.7,53.0,zone2,Normal
GRD-20250901-3000017,2025-09-01T16:00:00Z,218.32,48.96,0.91,35.7,53.0,zone3,Normal
GRD-20250901-4000017,2025-09-01T16:00:00Z,213.07,142.05,0.83,35.7,53.0,zone4,Warning
GRD-20250901-1000018,2025-09-01T17:00:00Z,220.55,41.3,0.97,27.1,60.7,zone1,Normal
GRD-20250901-2000018,2025-09-01T17:00:00Z,220.52,23.29,0.88,27.1,60.7,zone2,Normal
GRD-20250901-3000018,2025-09-01T17:00:00Z,218.18,88.44,0.91,27.1,60.7,zone3,Normal
GRD-20250901-4000018,2025-09-01T17:00:00Z,219.31,260.59,0.82,27.1,60.7,zone4,Warning
GRD-20250901-1000019,2025-09-01T18:00:00Z,220.83,39.96,0.96,33.8,86.9,zone1,Normal
GRD-20250901-2000019,2025-09-01T18:00:00Z,209.43,16.59,0.87,33.8,86.9,zone2,Normal
GRD-20250901-3000019,2025-09-01T18:00:00Z,222.04,58.42,0.87,33.8,86.9,zone3,Normal
GRD-20250901-4000019,2025-09-01T18:00:00Z,216.35,281.21,0.79,33.8,86.9,zone4,Critical
GRD-20250901-1000020,2025-09-01T19:00:00Z,220.28,34.87,0.98,30.4,55.4,zone1,Normal
GRD-20250901-2000020,2025-09-01T19:00:00Z,210.16,23.52,0.89,30.4,55.4,zone2,Normal
GRD-20250901-3000020,2025-09-01T19:00:00Z,219.0,55.32,0.87,30.4,55.4,zone3,Normal
GRD-20250901-4000020,2025-09-01T19:00:00Z,194.01,267.54,0.72,30.4,55.4,zone4,Critical
GRD-20250901-1000021,2025-09-01T20:00:00Z,221.76,38.97,0.94,35.8,70.3,zone1,Normal
GRD-20250901-2000021,2025-09-01T20:00:00Z,210.4,15.46,0.91,35.8,70.3,zone2,Normal
GRD-20250901-3000021,2025-09-01T20:00:00Z,221.02,75.72,0.88,35.8,70.3,zone3,Normal
GRD-20250901-4000021,2025-09-01T20:00:00Z,225.17,111.2,0.72,35.8,70.3,zone4,Critical
GRD-20250901-1000022,2025-09-01T21:00:00Z,217.4,41.29,0.95,33.7,75.2,zone1,Normal
GRD-20250901-2000022,2025-09-01T21:00:00Z,223.08,23.76,0.94,33.7,75.2,zone2,Normal
GRD-20250901-3000022,2025-09-01T21:00:00Z,222.79,66.35,0.87,33.7,75.2,zone3,Normal
GRD-20250901-4000022,2025-09-01T21:00:00Z,214.57,121.86,0.88,33.7,75.2,zone4,Normal
GRD-20250901-1000023,2025-09-01T22:00:00Z,219.03,48.48,0.93,31.9,50.4,zone1,Normal
GRD-20250901-2000023,2025-09-01T22:00:00Z,216.49,15.55,0.82,31.9,50.4,zone2,Warning
GRD-20250901-3000023,2025-09-01T22:00:00Z,218.72,67.17,0.91,31.9,50.4,zone3,Normal
GRD-20250901-4000023,2025-09-01T22:00:00Z,230.28,139.9,0.8,31.9,50.4,zone4,Warning
GRD-20250901-1000024,2025-09-01T23:00:00Z,225.93,22.97,0.95,31.9,69.9,zone1,Normal
GRD-20250901-2000024,2025-09-01T23:00:00Z,221.7,21.9,0.84,31.9,69.9,zone2,Warning
GRD-20250901-3000024,2025-09-01T23:00:00Z,217.48,57.08,0.95,31.9,69.9,zone3,Normal
GRD-20250901-4000024,2025-09-01T23:00:00Z,204.67,213.07,0.77,31.9,69.9,zone4,Critical
GRD-20250902-1000025,2025-09-02T00:00:00Z,220.05,28.73,0.91,26.9,68.1,zone1,Normal
GRD-20250902-2000025,2025-09-02T00:00:00Z,210.97,12.77,0.95,26.9,68.1,zone2,Normal
GRD-20250902-3000025,2025-09-02T00:00:00Z,220.38,88.13,0.9,26.9,68.1,zone3,Normal
GRD-20250902-4000025,2025-09-02T00:00:00Z,215.69,286.01,0.91,26.9,68.1,zone4,Normal
GRD-20250902-1000026,2025-09-02T01:00:00Z,223.8,46.95,0.92,29.4,66.2,zone1,Normal
GRD-20250902-2000026,2025-09-02T01:00:00Z,219.76,6.87,0.87,29.4,66.2,zone2,Normal
GRD-20250902-3000026,2025-09-02T01:00:00Z,211.15,54.39,0.94,29.4,66.2,zone3,Normal
GRD-20250902-4000026,2025-09-02T01:00:00Z,206.12,146.59,0.8,29.4,66.2,zone4,Warning
GRD-20250902-1000027,2025-09-02T02:00:00Z,224.0,26.33,0.95,34.5,70.1,zone1,Normal
GRD-20250902-2000027,2025-09-02T02:00:00Z,216.45,19.96,0.83,34.5,70.1,zone2,Warning
GRD-20250902-3000027,2025-09-02T02:00:00Z,225.56,69.08,0.91,34.5,70.1,zone3,Normal
GRD-20250902-4000027,2025-09-02T02:00:00Z,230.21,228.73,0.78,34.5,70.1,zone4,Critical
GRD-20250902-1000028,2025-09-02T03:00:00Z,217.12,46.52,0.95,30.6,88.9,zone1,Normal
GRD-20250902-2000028,2025-09-02T03:00:00Z,214.53,10.48,0.94,30.6,88.9,zone2,Normal
GRD-20250902-3000028,2025-09-02T03:00:00Z,212.17,50.99,0.92,30.6,88.9,zone3,Normal
GRD-20250902-4000028,2025-09-02T03:00:00Z,211.65,115.3,0.88,30.6,88.9,zone4,Normal
GRD-20250902-1000029,2025-09-02T04:00:00Z,218.53,34.22,0.91,35.4,60.3,zone1,Normal
GRD-20250902-2000029,2025-09-02T04:00:00Z,219.96,7.69,0.93,35.4,60.3,zone2,Normal
GRD-20250902-3000029,2025-09-02T04:00:00Z,218.98,67.98,0.95,35.4,60.3,zone3,Normal
GRD-20250902-4000029,2025-09-02T04:00:00Z,211.86,268.88,0.76,35.4,60.3,zone4,Critical
GRD-20250902-1000030,2025-09-02T05:00:00Z,215.63,23.33,0.93,30.2,64.8,zone1,Normal
GRD-20250902-2000030,2025-09-02T05:00:00Z,219.2,23.95,0.84,30.2,64.8,zone2,Warning
GRD-20250902-3000030,2025-09-02T05:00:00Z,222.42,79.58,0.85,30.2,64.8,zone3,Normal
GRD-20250902-4000030,2025-09-02T05:00:00Z,213.1,256.12,0.77,30.2,64.8,zone4,Critical
GRD-20250902-1000031,2025-09-02T06:00:00Z,224.33,24.69,0.9,34.0,62.5,zone1,Normal
GRD-20250902-2000031,2025-09-02T06:00:00Z,216.13,7.31,0.94,34.0,62.5,zone2,Normal
GRD-20250902-3000031,2025-09-02T06:00:00Z,224.4,48.63,0.85,34.0,62.5,zone3,Normal
GRD-20250902-4000031,2025-09-02T06:00:00Z,210.33,239.13,0.73,34.0,62.5,zone4,Critical
GRD-20250902-1000032,2025-09-02T07:00:00Z,224.65,46.74,0.95,34.6,68.6,zone1,Normal
GRD-20250902-2000032,2025-09-02T07:00:00Z,218.53,18.2,0.89,34.6,68.6,zone2,Normal
GRD-20250902-3000032,2025-09-02T07:00:00Z,220.27,51.88,0.88,34.6,68.6,zone3,Normal
GRD-20250902-4000032,2025-09-02T07:00:00Z,229.65,219.76,0.76,34.6,68.6,zone4,Critical
GRD-20250902-1000033,2025-09-02T08:00:00Z,223.18,25.41,0.98,31.0,75.7,zone1,Normal
GRD-20250902-2000033,2025-09-02T08:00:00Z,217.12,18.47,0.87,31.0,75.7,zone2,Normal
GRD-20250902-3000033,2025-09-02T08:00:00Z,223.82,85.8,0.86,31.0,75.7,zone3,Normal
GRD-20250902-4000033,2025-09-02T08:00:00Z,221.02,111.78,0.88,31.0,75.7,zone4,Normal
GRD-20250902-1000034,2025-09-02T09:00:00Z,215.42,33.55,0.94,24.5,71.6,zone1,Normal
GRD-20250902-2000034,2025-09-02T09:00:00Z,209.9,16.9,0.81,24.5,71.6,zone2,Warning
GRD-20250902-3000034,2025-09-02T09:00:00Z,225.01,99.83,0.86,24.5,71.6,zone3,Normal
GRD-20250902-4000034,2025-09-02T09:00:00Z,218.67,135.19,0.86,24.5,71.6,zone4,Normal
GRD-20250902-1000035,2025-09-02T10:00:00Z,223.94,39.11,0.97,30.3,66.6,zone1,Normal
GRD-20250902-2000035,2025-09-02T10:00:00Z,217.51,5.91,0.94,30.3,66.6,zone2,Normal
GRD-20250902-3000035,2025-09-02T10:00:00Z,225.57,90.69,0.87,30.3,66.6,zone3,Normal
GRD-20250902-4000035,2025-09-02T10:00:00Z,212.26,179.88,0.86,30.3,66.6,zone4,Normal
GRD-20250902-1000036,2025-09-02T11:00:00Z,221.6,16.59,0.96,30.3,61.8,zone1,Normal
GRD-20250902-2000036,2025-09-02T11:00:00Z,220.77,24.12,0.81,30.3,61.8,zone2,Warning
GRD-20250902-3000036,2025-09-02T11:00:00Z,226.82,64.29,0.95,30.3,61.8,zone3,Normal
GRD-20250902-4000036,2025-09-02T11:00:00Z,223.07,253.91,0.91,30.3,61.8,zone4,Normal
GRD-20250902-1000037,2025-09-02T12:00:00Z,224.62,44.34,0.94,35.0,54.9,zone1,Normal
GRD-20250902-2000037,2025-09-02T12:00:00Z,223.22,8.29,0.81,35.0,54.9,zone2,Warning
GRD-20250902-3000037,2025-09-02T12:00:00Z,225.28,94.63,0.93,35.0,54.9,zone3,Normal
GRD-20250902-4000037,2025-09-02T12:00:00Z,215.23,296.56,0.8,35.0,54.9,zone4,Warning
GRD-20250902-1000038,2025-09-02T13:00:00Z,222.27,28.3,0.98,28.4,81.9,zone1,Normal
GRD-20250902-2000038,2025-09-02T13:00:00Z,212.83,13.39,0.88,28.4,81.9,zone2,Normal
GRD-20250902-3000038,2025-09-02T13:00:00Z,224.72,55.41,0.91,28.4,81.9,zone3,Normal
GRD-20250902-4000038,2025-09-02T13:00:00Z,220.74,218.83,0.84,28.4,81.9,zone4,Warning
GRD-20250902-1000039,2025-09-02T14:00:00Z,224.24,37.72,0.99,25.9,88.0,zone1,Normal
GRD-20250902-2000039,2025-09-02T14:00:00Z,225.62,13.45,0.86,25.9,88.0,zone2,Normal
GRD-20250902-3000039,2025-09-02T14:00:00Z,220.28,74.27,0.92,25.9,88.0,zone3,Normal
GRD-20250902-4000039,2025-09-02T14:00:00Z,212.11,137.86,0.76,25.9,88.0,zone4,Critical
GRD-20250902-1000040,2025-09-02T15:00:00Z,219.26,48.06,0.95,34.8,55.2,zone1,Normal
GRD-20250902-2000040,2025-09-02T15:00:00Z,210.89,11.89,0.81,34.8,55.2,zone2,Warning
GRD-20250902-3000040,2025-09-02T15:00:00Z,218.69,66.78,0.91,34.8,55.2,zone3,Normal
GRD-20250902-4000040,2025-09-02T15:00:00Z,215.45,141.21,0.7,34.8,55.2,zone4,Critical
GRD-20250902-1000041,2025-09-02T16:00:00Z,219.81,24.8,0.95,30.9,55.8,zone1,Normal
GRD-20250902-2000041,2025-09-02T16:00:00Z,215.48,21.91,0.82,30.9,55.8,zone2,Warning
GRD-20250902-3000041,2025-09-02T16:00:00Z,219.84,67.76,0.9,30.9,55.8,zone3,Normal
GRD-20250902-4000041,2025-09-02T16:00:00Z,205.08,229.44,0.85,30.9,55.8,zone4,Normal
GRD-20250902-1000042,2025-09-02T17:00:00Z,225.71,43.12,0.93,31.2,85.7,zone1,Normal
GRD-20250902-2000042,2025-09-02T17:00:00Z,219.23,16.04,0.93,31.2,85.7,zone2,Normal
GRD-20250902-3000042,2025-09-02T17:00:00Z,222.4,40.91,0.92,31.2,85.7,zone3,Normal
GRD-20250902-4000042,2025-09-02T17:00:00Z,211.04,190.43,0.75,31.2,85.7,zone4,Critical
GRD-20250902-1000043,2025-09-02T18:00:00Z,219.56,47.49,0.94,32.9,83.5,zone1,Normal
GRD-20250902-2000043,2025-09-02T18:00:00Z,209.25,14.83,0.88,32.9,83.5,zone2,Normal
GRD-20250902-3000043,2025-09-02T18:00:00Z,223.28,83.19,0.95,32.9,83.5,zone3,Normal
GRD-20250902-4000043,2025-09-02T18:00:00Z,208.5,183.57,0.89,32.9,83.5,zone4,Normal
GRD-20250902-1000044,2025-09-02T19:00:00Z,214.94,22.24,0.92,28.8,88.5,zone1,Normal
GRD-20250902-2000044,2025-09-02T19:00:00Z,215.28,6.0,0.91,28.8,88.5,zone2,Normal
GRD-20250902-3000044,2025-09-02T19:00:00Z,222.38,66.79,0.88,28.8,88.5,zone3,Normal
GRD-20250902-4000044,2025-09-02T19:00:00Z,215.63,127.0,0.85,28.8,88.5,zone4,Normal
GRD-20250902-1000045,2025-09-02T20:00:00Z,223.31,15.55,0.99,31.9,59.0,zone1,Normal
GRD-20250902-2000045,2025-09-02T20:00:00Z,219.81,19.68,0.94,31.9,59.0,zone2,Normal
GRD-20250902-3000045,2025-09-02T20:00:00Z,229.17,66.74,0.92,31.9,59.0,zone3,Normal
GRD-20250902-4000045,2025-09-02T20:00:00Z,209.12,235.03,0.7,31.9,59.0,zone4,Critical
GRD-20250902-1000046,2025-09-02T21:00:00Z,218.97,49.6,0.93,35.5,81.4,zone1,Normal
GRD-20250902-2000046,2025-09-02T21:00:00Z,219.09,5.71,0.81,35.5,81.4,zone2,Warning
GRD-20250902-3000046,2025-09-02T21:00:00Z,216.85,72.65,0.92,35.5,81.4,zone3,Normal
GRD-20250902-4000046,2025-09-02T21:00:00Z,201.72,174.85,0.71,35.5,81.4,zone4,Critical
GRD-20250902-1000047,2025-09-02T22:00:00Z,214.06,18.0,0.94,30.7,54.0,zone1,Normal
GRD-20250902-2000047,2025-09-02T22:00:00Z,213.41,14.86,0.94,30.7,54.0,zone2,Normal
GRD-20250902-3000047,2025-09-02T22:00:00Z,216.02,58.05,0.86,30.7,54.0,zone3,Normal
GRD-20250902-4000047,2025-09-02T22:00:00Z,217.11,105.56,0.78,30.7,54.0,zone4,Critical
GRD-20250902-1000048,2025-09-02T23:00:00Z,215.06,41.36,0.96,27.8,89.1,zone1,Normal
GRD-20250902-2000048,2025-09-02T23:00:00Z,213.94,7.98,0.88,27.8,89.1,zone2,Normal
GRD-20250902-3000048,2025-09-02T23:00:00Z,220.33,45.51,0.93,27.8,89.1,zone3,Normal
GRD-20250902-4000048,2025-09-02T23:00:00Z,215.22,197.21,0.89,27.8,89.1,zone4,Normal
GRD-20250903-1000049,2025-09-03T00:00:00Z,220.43,21.84,0.97,28.9,57.0,zone1,Normal
GRD-20250903-2000049,2025-09-03T00:00:00Z,211.67,17.08,0.94,28.9,57.0,zone2,Normal
GRD-20250903-3000049,2025-09-03T00:00:00Z,218.96,83.31,0.91,28.9,57.0,zone3,Normal
GRD-20250903-4000049,2025-09-03T00:00:00Z,210.46,152.19,0.83,28.9,57.0,zone4,Warning
GRD-20250903-1000050,2025-09-03T01:00:00Z,221.57,45.35,0.97,28.4,82.2,zone1,Normal
GRD-20250903-2000050,2025-09-03T01:00:00Z,216.39,24.89,0.9,28.4,82.2,zone2,Normal
GRD-20250903-3000050,2025-09-03T01:00:00Z,218.33,88.48,0.9,28.4,82.2,zone3,Normal
GRD-20250903-4000050,2025-09-03T01:00:00Z,203.57,231.23,0.83,28.4,82.2,zone4,Warning
