id,timestamp,hour,day_of_week,temperature,prev_demand,zone,power_demand
PWR-20250901-1000001,2025-09-01T00:00:00Z,0,0,27.0,158.4,zone1,136.83
PWR-20250901-2000001,2025-09-01T00:00:00Z,0,0,27.0,68.58,zone2,96.67
PWR-20250901-3000001,2025-09-01T00:00:00Z,0,0,27.0,88.41,zone3,74.76
PWR-20250901-4000001,2025-09-01T00:00:00Z,0,0,27.0,1147.02,zone4,1223.72
PWR-20250901-1000002,2025-09-01T01:00:00Z,1,0,21.8,185.54,zone1,169.84
PWR-20250901-2000002,2025-09-01T01:00:00Z,1,0,21.8,56.01,zone2,69.92
PWR-20250901-3000002,2025-09-01T01:00:00Z,1,0,21.8,85.15,zone3,157.46
PWR-20250901-4000002,2025-09-01T01:00:00Z,1,0,21.8,1417.34,zone4,1476.14
PWR-20250901-1000003,2025-09-01T02:00:00Z,2,0,22.9,164.24,zone1,211.22
PWR-20250901-2000003,2025-09-01T02:00:00Z,2,0,22.9,36.34,zone2,56.76
PWR-20250901-3000003,2025-09-01T02:00:00Z,2,0,22.9,102.65,zone3,107.39
PWR-20250901-4000003,2025-09-01T02:00:00Z,2,0,22.9,1488.17,zone4,1535.38
PWR-20250901-1000004,2025-09-01T03:00:00Z,3,0,21.1,222.09,zone1,226.65
PWR-20250901-2000004,2025-09-01T03:00:00Z,3,0,21.1,85.07,zone2,67.56
PWR-20250901-3000004,2025-09-01T03:00:00Z,3,0,21.1,116.74,zone3,132.83
PWR-20250901-4000004,2025-09-01T03:00:00Z,3,0,21.1,1580.26,zone4,1673.01
PWR-20250901-1000005,2025-09-01T04:00:00Z,4,0,26.9,146.69,zone1,169.81
PWR-20250901-2000005,2025-09-01T04:00:00Z,4,0,26.9,101.18,zone2,88.03
PWR-20250901-3000005,2025-09-01T04:00:00Z,4,0,26.9,125.3,zone3,169.48
PWR-20250901-4000005,2025-09-01T04:00:00Z,4,0,26.9,1586.24,zone4,1630.2
PWR-20250901-1000006,2025-09-01T05:00:00Z,5,0,25.3,289.45,zone1,266.72
PWR-20250901-2000006,2025-09-01T05:00:00Z,5,0,25.3,76.69,zone2,126.96
PWR-20250901-3000006,2025-09-01T05:00:00Z,5,0,25.3,78.53,zone3,107.7
PWR-20250901-4000006,2025-09-01T05:00:00Z,5,0,25.3,1342.88,zone4,1429.23
PWR-20250901-1000007,2025-09-01T06:00:00Z,6,0,27.3,282.82,zone1,293.34
PWR-20250901-2000007,2025-09-01T06:00:00Z,6,0,27.3,52.01,zone2,34.06
PWR-20250901-3000007,2025-09-01T06:00:00Z,6,0,27.3,131.93,zone3,147.25
PWR-20250901-4000007,2025-09-01T06:00:00Z,6,0,27.3,1110.32,zone4,1169.17
PWR-20250901-1000008,2025-09-01T07:00:00Z,7,0,27.8,303.85,zone1,290.13
PWR-20250901-2000008,2025-09-01T07:00:00Z,7,0,27.8,90.05,zone2,93.29
PWR-20250901-3000008,2025-09-01T07:00:00Z,7,0,27.8,121.06,zone3,101.55
PWR-20250901-4000008,2025-09-01T07:00:00Z,7,0,27.8,1442.98,zone4,1497.64
PWR-20250901-1000009,2025-09-01T08:00:00Z,8,0,28.2,325.73,zone1,329.01
PWR-20250901-2000009,2025-09-01T08:00:00Z,8,0,28.2,77.64,zone2,96.29
PWR-20250901-3000009,2025-09-01T08:00:00Z,8,0,28.2,463.11,zone3,484.95
PWR-20250901-4000009,2025-09-01T08:00:00Z,8,0,28.2,1518.56,zone4,1554.81
PWR-20250901-1000010,2025-09-01T09:00:00Z,9,0,35.3,278.87,zone1,299.85
PWR-20250901-2000010,2025-09-01T09:00:00Z,9,0,35.3,32.9,zone2,40.87
PWR-20250901-3000010,2025-09-01T09:00:00Z,9,0,35.3,457.24,zone3,494.0
PWR-20250901-4000010,2025-09-01T09:00:00Z,9,0,35.3,1429.33,zone4,1524.22
PWR-20250901-1000011,2025-09-01T10:00:00Z,10,0,28.7,254.46,zone1,242.26
PWR-20250901-2000011,2025-09-01T10:00:00Z,10,0,28.7,97.09,zone2,73.81
PWR-20250901-3000011,2025-09-01T10:00:00Z,10,0,28.7,512.33,zone3,500.48
PWR-20250901-4000011,2025-09-01T10:00:00Z,10,0,28.7,1199.88,zone4,1284.45
PWR-20250901-1000012,2025-09-01T11:00:00Z,11,0,34.4,270.37,zone1,281.13
PWR-20250901-2000012,2025-09-01T11:00:00Z,11,0,34.4,107.06,zone2,112.1
PWR-20250901-3000012,2025-09-01T11:00:00Z,11,0,34.4,521.4,zone3,538.42
PWR-20250901-4000012,2025-09-01T11:00:00Z,11,0,34.4,1282.2,zone4,1349.49
PWR-20250901-1000013,2025-09-01T12:00:00Z,12,0,26.9,219.02,zone1,198.73
PWR-20250901-2000013,2025-09-01T12:00:00Z,12,0,26.9,49.88,zone2,26.21
PWR-20250901-3000013,2025-09-01T12:00:00Z,12,0,26.9,329.97,zone3,351.52
PWR-20250901-4000013,2025-09-01T12:00:00Z,12,0,26.9,1249.01,zone4,1369.34
PWR-20250901-1000014,2025-09-01T13:00:00Z,13,0,31.2,231.56,zone1,224.6
PWR-20250901-2000014,2025-09-01T13:00:00Z,13,0,31.2,85.07,zone2,94.51
PWR-20250901-3000014,2025-09-01T13:00:00Z,13,0,31.2,353.51,zone3,379.62
PWR-20250901-4000014,2025-09-01T13:00:00Z,13,0,31.2,1203.79,zone4,1280.59
PWR-20250901-1000015,2025-09-01T14:00:00Z,14,0,29.8,230.34,zone1,256.36
PWR-20250901-2000015,2025-09-01T14:00:00Z,14,0,29.8,67.71,zone2,79.48
PWR-20250901-3000015,2025-09-01T14:00:00Z,14,0,29.8,358.52,zone3,334.04
PWR-20250901-4000015,2025-09-01T14:00:00Z,14,0,29.8,1508.51,zone4,1610.45
PWR-20250901-1000016,2025-09-01T15:00:00Z,15,0,35.4,219.72,zone1,247.28
PWR-20250901-2000016,2025-09-01T15:00:00Z,15,0,35.4,45.84,zone2,74.94
PWR-20250901-3000016,2025-09-01T15:00:00Z,15,0,35.4,541.01,zone3,591.17
PWR-20250901-4000016,2025-09-01T15:00:00Z,15,0,35.4,1134.57,zone4,1186.03
PWR-20250901-1000017,2025-09-01T16:00:00Z,16,0,35.5,278.92,zone1,243.45
PWR-20250901-2000017,2025-09-01T16:00:00Z,16,0,35.5,92.73,zone2,87.42
PWR-20250901-3000017,2025-09-01T16:00:00Z,16,0,35.5,450.08,zone3,456.92
PWR-20250901-4000017,2025-09-01T16:00:00Z,16,0,35.5,1371.94,zone4,1433.4
PWR-20250901-1000018,2025-09-01T17:00:00Z,17,0,32.8,214.22,zone1,207.74
PWR-20250901-2000018,2025-09-01T17:00:00Z,17,0,32.8,80.26,zone2,80.44
PWR-20250901-3000018,2025-09-01T17:00:00Z,17,0,32.8,540.42,zone3,549.52
PWR-20250901-4000018,2025-09-01T17:00:00Z,17,0,32.8,1496.39,zone4,1558.04
PWR-20250901-1000019,2025-09-01T18:00:00Z,18,0,20.1,352.98,zone1,351.23
PWR-20250901-2000019,2025-09-01T18:00:00Z,18,0,20.1,131.04,zone2,131.78
PWR-20250901-3000019,2025-09-01T18:00:00Z,18,0,20.1,411.69,zone3,437.34
PWR-20250901-4000019,2025-09-01T18:00:00Z,18,0,20.1,1278.53,zone4,1341.17
PWR-20250901-1000020,2025-09-01T19:00:00Z,19,0,27.4,351.27,zone1,373.11
PWR-20250901-2000020,2025-09-01T19:00:00Z,19,0,27.4,129.35,zone2,140.1
PWR-20250901-3000020,2025-09-01T19:00:00Z,19,0,27.4,138.68,zone3,116.32
PWR-20250901-4000020,2025-09-01T19:00:00Z,19,0,27.4,1213.02,zone4,1318.16
PWR-20250901-1000021,2025-09-01T20:00:00Z,20,0,23.8,351.27,zone1,367.48
PWR-20250901-2000021,2025-09-01T20:00:00Z,20,0,23.8,148.11,zone2,195.37
PWR-20250901-3000021,2025-09-01T20:00:00Z,20,0,23.8,86.58,zone3,95.87
PWR-20250901-4000021,2025-09-01T20:00:00Z,20,0,23.8,1130.92,zone4,1204.8
PWR-20250901-1000022,2025-09-01T21:00:00Z,21,0,24.1,306.27,zone1,370.07
PWR-20250901-2000022,2025-09-01T21:00:00Z,21,0,24.1,158.5,zone2,160.76
PWR-20250901-3000022,2025-09-01T21:00:00Z,21,0,24.1,91.12,zone3,72.39
PWR-20250901-4000022,2025-09-01T21:00:00Z,21,0,24.1,1622.77,zone4,1694.14
PWR-20250901-1000023,2025-09-01T22:00:00Z,22,0,21.9,322.62,zone1,336.63
PWR-20250901-2000023,2025-09-01T22:00:00Z,22,0,21.9,129.94,zone2,143.35
PWR-20250901-3000023,2025-09-01T22:00:00Z,22,0,21.9,129.41,zone3,154.38
PWR-20250901-4000023,2025-09-01T22:00:00Z,22,0,21.9,1219.06,zone4,1266.18
PWR-20250901-1000024,2025-09-01T23:00:00Z,23,0,25.2,376.58,zone1,349.1
PWR-20250901-2000024,2025-09-01T23:00:00Z,23,0,25.2,126.4,zone2,52.17
PWR-20250901-3000024,2025-09-01T23:00:00Z,23,0,25.2,100.41,zone3,88.73
PWR-20250901-4000024,2025-09-01T23:00:00Z,23,0,25.2,1520.5,zone4,1594.02
PWR-20250902-1000025,2025-09-02T00:00:00Z,0,1,27.7,187.92,zone1,199.92
PWR-20250902-2000025,2025-09-02T00:00:00Z,0,1,27.7,85.91,zone2,66.93
PWR-20250902-3000025,2025-09-02T00:00:00Z,0,1,27.7,148.1,zone3,104.26
PWR-20250902-4000025,2025-09-02T00:00:00Z,0,1,27.7,1484.27,zone4,1548.17
PWR-20250902-1000026,2025-09-02T01:00:00Z,1,1,22.2,203.02,zone1,232.16
PWR-20250902-2000026,2025-09-02T01:00:00Z,1,1,22.2,61.79,zone2,93.47
PWR-20250902-3000026,2025-09-02T01:00:00Z,1,1,22.2,164.16,zone3,144.63
PWR-20250902-4000026,2025-09-02T01:00:00Z,1,1,22.2,1404.79,zone4,1461.19
PWR-20250902-1000027,2025-09-02T02:00:00Z,2,1,21.1,200.28,zone1,187.8
PWR-20250902-2000027,2025-09-02T02:00:00Z,2,1,21.1,69.94,zone2,84.23
PWR-20250902-3000027,2025-09-02T02:00:00Z,2,1,21.1,86.37,zone3,119.6
PWR-20250902-4000027,2025-09-02T02:00:00Z,2,1,21.1,1541.42,zone4,1648.0
PWR-20250902-1000028,2025-09-02T03:00:00Z,3,1,22.9,165.61,zone1,196.81
PWR-20250902-2000028,2025-09-02T03:00:00Z,3,1,22.9,73.47,zone2,75.47
PWR-20250902-3000028,2025-09-02T03:00:00Z,3,1,22.9,102.76,zone3,138.77
PWR-20250902-4000028,2025-09-02T03:00:00Z,3,1,22.9,1590.95,zone4,1665.32
PWR-20250902-1000029,2025-09-02T04:00:00Z,4,1,27.6,201.42,zone1,216.71
PWR-20250902-2000029,2025-09-02T04:00:00Z,4,1,27.6,71.31,zone2,74.98
